,movieId,title,ratingsCount,averageRating
131,158,Casper (1995),62,2.8064516
132,159,Clockers (1995),14,2.892857
133,160,Congo (1995),57,2.877193
134,161,Crimson Tide (1995),103,3.6359224
135,162,Crumb (1994),17,4.2058825
136,163,Desperado (1995),66,3.560606
137,164,Devil in a Blue Dress (1995),14,3.3214285
138,165,Die Hard: With a Vengeance (1995),144,3.5555556
139,166,"Doom Generation, The (1995)",3,2.8333333
140,168,First Knight (1995),54,3.0833333
141,169,Free Willy 2: The Adventure Home (1995),10,2.4
142,170,Hackers (1995),35,3.2285714
143,171,Jeffrey (1995),6,3.8333333
144,172,Johnny Mnemonic (1995),53,2.6792452
145,173,Judge Dredd (1995),62,2.669355
146,174,Jury Duty (1995),10,2.7
147,175,Kids (1995),20,3.975
148,176,Living in Oblivion (1995),13,4.3076925
149,177,Lord of Illusions (1995),8,2.75
150,178,Love & Human Remains (1993),1,1.0
151,179,Mad Love (1995),2,1.5
152,180,Mallrats (1995),36,3.4027777
153,181,Mighty Morphin Power Rangers: The Movie (1995),17,2.264706
154,183,Mute Witness (1994),2,3.5
155,184,Nadja (1994),2,3.5
156,185,"Net, The (1995)",112,3.0401785
157,186,Nine Months (1995),48,2.8229167
158,187,Party Girl (1995),4,4.125
159,188,"Prophecy, The (1995)",12,3.4583333
160,189,Reckless (1995),1,3.0
161,190,Safe (1995),5,2.8
162,191,"Scarlet Letter, The (1995)",6,2.4166667
163,193,Showgirls (1995),35,2.4714286
164,194,Smoke (1995),18,3.6666667
165,195,Something to Talk About (1995),10,3.1
166,196,Species (1995),45,2.6666667
167,198,Strange Days (1995),28,3.25
168,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",4,4.125
169,201,Three Wishes (1995),1,3.0
170,202,Total Eclipse (1995),1,3.0
171,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",22,3.4318182
172,204,Under Siege 2: Dark Territory (1995),30,2.7166667
173,205,Unstrung Heroes (1995),9,3.1666667
174,206,Unzipped (1995),2,3.0
175,207,"Walk in the Clouds, A (1995)",21,3.4285715
176,208,Waterworld (1995),115,2.9130435
177,209,White Man's Burden (1995),3,3.1666667
178,210,Wild Bill (1995),4,3.0
179,211,"Browning Version, The (1994)",2,3.5
180,212,Bushwhacked (1995),3,3.0
181,213,Burnt by the Sun (Utomlyonnye solntsem) (1994),6,3.8333333
182,214,Before the Rain (Pred dozhdot) (1994),2,4.0
183,215,Before Sunrise (1995),24,4.0416665
184,216,Billy Madison (1995),49,3.3265307
185,217,"Babysitter, The (1995)",6,2.3333333
186,218,Boys on the Side (1995),14,3.4285715
187,219,"Cure, The (1995)",1,3.0
188,220,Castle Freak (1995),1,3.0
189,222,Circle of Friends (1995),16,3.75
190,223,Clerks (1994),104,3.8557692
191,224,Don Juan DeMarco (1995),40,3.6125
192,225,Disclosure (1994),52,3.5384614
193,227,Drop Zone (1994),22,2.8636363
194,228,Destiny Turns on the Radio (1995),3,2.3333333
195,229,Death and the Maiden (1994),7,3.4285715
196,230,Dolores Claiborne (1995),24,3.3958333
197,231,Dumb & Dumber (Dumb and Dumber) (1994),133,3.0601504
198,232,Eat Drink Man Woman (Yin shi nan nu) (1994),14,3.892857
199,233,Exotica (1994),12,3.5
200,234,Exit to Eden (1994),17,2.5882354
201,235,Ed Wood (1994),70,3.6785715
202,236,French Kiss (1995),45,3.4777777
203,237,Forget Paris (1995),22,3.340909
204,238,Far From Home: The Adventures of Yellow Dog (1995),2,4.0
205,239,"Goofy Movie, A (1995)",17,3.0
206,240,Hideaway (1995),4,2.375
207,241,Fluke (1995),1,4.0
208,242,Farinelli: il castrato (1994),5,3.6
209,243,Gordy (1995),1,3.0
210,246,Hoop Dreams (1994),29,4.293103
211,247,Heavenly Creatures (1994),21,3.9285715
212,248,Houseguest (1994),17,3.1764705
213,249,Immortal Beloved (1994),18,3.7222223
214,250,Heavyweights (Heavy Weights) (1995),6,2.5
215,251,"Hunted, The (1995)",3,3.0
216,252,I.Q. (1994),43,3.4534883
217,253,Interview with the Vampire: The Vampire Chronicles (1994),109,3.4587157
218,254,Jefferson in Paris (1995),1,3.0
219,255,"Jerky Boys, The (1995)",7,2.0714285
220,256,Junior (1994),35,2.8285713
221,257,Just Cause (1995),14,3.5
222,258,"Kid in King Arthur's Court, A (1995)",10,2.6
223,259,Kiss of Death (1995),5,3.2
224,260,Star Wars: Episode IV - A New Hope (1977),251,4.231076
225,261,Little Women (1994),42,3.8809524
226,262,"Little Princess, A (1995)",21,3.9047618
227,263,Ladybird Ladybird (1994),1,4.0
228,265,Like Water for Chocolate (Como agua para chocolate) (1992),33,3.939394
229,266,Legends of the Fall (1994),68,3.3970587
230,267,Major Payne (1995),17,2.9411764
231,269,My Crazy Life (Mi vida loca) (1993),2,3.0
232,270,Love Affair (1994),5,3.4
233,271,Losing Isaiah (1995),4,3.5
234,272,"Madness of King George, The (1994)",31,3.7580645
235,273,Mary Shelley's Frankenstein (Frankenstein) (1994),28,2.9464285
236,274,Man of the House (1995),7,2.9285715
237,275,Mixed Nuts (1994),6,2.0
238,276,Milk Money (1994),22,3.25
239,277,Miracle on 34th Street (1994),38,3.2236843
240,278,Miami Rhapsody (1995),2,1.5
241,279,My Family (1995),2,3.0
242,280,Murder in the First (1995),13,4.076923
243,281,Nobody's Fool (1994),14,3.7857144
244,282,Nell (1994),40,3.3375
245,283,New Jersey Drive (1995),3,3.6666667
246,284,New York Cop (Nyû Yôku no koppu) (1993),1,4.5
247,285,Beyond Bedlam (1993),1,4.0
248,287,Nina Takes a Lover (1994),1,3.0
249,288,Natural Born Killers (1994),92,3.2336957
250,289,Only You (1994),8,3.5625
251,290,Once Were Warriors (1994),14,4.035714
252,291,Poison Ivy II (1996),3,2.3333333
253,292,Outbreak (1995),101,3.4257426
254,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),133,4.018797
255,294,"Perez Family, The (1995)",2,3.0
256,295,"Pyromaniac's Love Story, A (1995)",1,3.0
257,296,Pulp Fiction (1994),307,4.197068
258,298,Pushing Hands (Tui shou) (1992),1,2.0
259,299,Priest (1994),4,4.0
260,300,Quiz Show (1994),81,3.5185184
261,301,Picture Bride (Bijo photo) (1994),1,4.0
262,302,"Queen Margot (Reine Margot, La) (1994)",5,3.2
263,303,"Quick and the Dead, The (1995)",32,2.953125
264,304,Roommates (1995),3,3.6666667
265,305,Ready to Wear (Pret-A-Porter) (1994),9,2.8333333
266,306,Three Colors: Red (Trois couleurs: Rouge) (1994),16,4.21875
267,307,Three Colors: Blue (Trois couleurs: Bleu) (1993),24,3.8958333
268,308,Three Colors: White (Trzy kolory: Bialy) (1994),20,4.025
269,310,Rent-a-Kid (1995),1,3.0
270,311,Relative Fear (1994),1,3.0
271,312,Stuart Saves His Family (1995),9,1.4444444
272,313,"Swan Princess, The (1994)",3,3.3333333
273,314,"Secret of Roan Inish, The (1994)",16,3.75
274,315,"Specialist, The (1994)",38,3.0789473
275,316,Stargate (1994),140,3.375
276,317,"Santa Clause, The (1994)",81,3.2037036
277,318,"Shawshank Redemption, The (1994)",317,4.4290223
278,319,Shallow Grave (1994),20,3.6
279,320,Suture (1993),1,3.0
280,321,Strawberry and Chocolate (Fresa y chocolate) (1993),2,4.0
281,322,Swimming with Sharks (1995),10,3.55
282,324,"Sum of Us, The (1994)",1,4.0
283,325,National Lampoon's Senior Trip (1995),7,2.5
284,326,To Live (Huozhe) (1994),3,4.0
285,327,Tank Girl (1995),34,2.8235295
286,328,Tales from the Crypt Presents: Demon Knight (1995),10,3.15
287,329,Star Trek: Generations (1994),108,3.3935184
288,330,Tales from the Hood (1995),6,3.0
289,331,Tom & Viv (1994),2,3.0
290,332,Village of the Damned (1995),12,2.8333333
291,333,Tommy Boy (1995),50,3.78
292,334,Vanya on 42nd Street (1994),5,4.2
293,335,Underneath (1995),2,3.5
294,336,"Walking Dead, The (1995)",1,3.0
295,337,What's Eating Gilbert Grape (1993),77,3.7662337
296,338,Virtuosity (1995),19,2.8421052
297,339,While You Were Sleeping (1995),98,3.4693878
298,340,"War, The (1994)",5,3.4
299,341,Double Happiness (1994),2,4.0
300,342,Muriel's Wedding (1994),33,3.2727273
301,343,"Baby-Sitters Club, The (1995)",5,2.9
302,344,Ace Ventura: Pet Detective (1994),161,3.0403726
303,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",36,3.5972223
304,346,Backbeat (1993),6,3.5
305,347,Bitter Moon (1992),6,3.5
306,348,Bullets Over Broadway (1994),30,3.5833333
307,349,Clear and Present Danger (1994),110,3.6045454
308,350,"Client, The (1994)",57,3.3859649
309,351,"Corrina, Corrina (1994)",17,3.1764705
310,352,Crooklyn (1994),2,2.5
311,353,"Crow, The (1994)",64,3.609375
312,354,Cobb (1994),6,3.3333333
313,355,"Flintstones, The (1994)",42,2.357143
314,356,Forrest Gump (1994),329,4.1641335
315,357,Four Weddings and a Funeral (1994),103,3.5194175
316,358,Higher Learning (1995),9,2.6666667
317,359,I Like It Like That (1994),1,3.0
318,360,I Love Trouble (1994),8,2.6875
319,361,It Could Happen to You (1994),17,3.0588236
320,362,"Jungle Book, The (1994)",34,3.5294118
321,363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",2,4.0
322,364,"Lion King, The (1994)",172,3.9418604
323,365,Little Buddha (1993),4,3.25
324,366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",12,2.9166667
325,367,"Mask, The (1994)",157,3.1847134
326,368,Maverick (1994),74,3.5
327,369,Mrs. Parker and the Vicious Circle (1994),2,4.0
328,370,Naked Gun 33 1/3: The Final Insult (1994),58,3.060345
329,371,"Paper, The (1994)",21,3.3095238
330,372,Reality Bites (1994),21,2.7619047
331,373,Red Rock West (1992),11,3.6363637
332,374,Richie Rich (1994),25,2.2
333,376,"River Wild, The (1994)",40,3.25
334,377,Speed (1994),171,3.5292397
335,378,Speechless (1994),7,2.7857144
336,379,Timecop (1994),21,2.5
337,380,True Lies (1994),178,3.497191
338,381,When a Man Loves a Woman (1994),11,3.8181818
339,382,Wolf (1994),16,3.15625
340,383,Wyatt Earp (1994),21,3.0952382
341,384,Bad Company (1995),2,3.25
342,385,"Man of No Importance, A (1994)",1,4.0
343,386,S.F.W. (1994),1,3.0
344,387,"Low Down Dirty Shame, A (1994)",4,2.375
345,388,Boys Life (1995),2,3.0
346,389,"Colonel Chabert, Le (1994)",2,4.5
347,390,Faster Pussycat! Kill! Kill! (1965),5,3.7
348,391,Jason's Lyric (1994),1,4.5
349,393,Street Fighter (1994),10,2.5
350,405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),12,2.4166667
351,406,Federal Hill (1994),1,3.0
352,407,In the Mouth of Madness (1995),8,3.4375
353,408,8 Seconds (1994),2,3.0
354,409,Above the Rim (1994),1,2.0
355,410,Addams Family Values (1993),84,3.1011906
356,412,"Age of Innocence, The (1993)",15,3.5
357,413,Airheads (1994),26,2.7884614
358,414,"Air Up There, The (1994)",6,2.3333333
359,415,Another Stakeout (1993),16,2.53125
360,416,Bad Girls (1994),8,2.5
361,417,Barcelona (1994),13,3.6923077
362,418,Being Human (1993),2,3.0
363,419,"Beverly Hillbillies, The (1993)",20,2.675
364,420,Beverly Hills Cop III (1994),59,2.720339
365,421,Black Beauty (1994),12,3.2083333
366,422,Blink (1994),5,3.2
367,423,Blown Away (1994),10,2.85
368,424,Blue Chips (1994),3,1.8333334
369,425,Blue Sky (1994),2,3.75
370,426,Body Snatchers (1993),7,3.142857
371,427,Boxing Helena (1993),12,2.5416667
372,428,"Bronx Tale, A (1993)",18,3.7222223
373,429,Cabin Boy (1994),6,2.0
374,430,Calendar Girl (1993),2,3.75
375,431,Carlito's Way (1993),42,3.7380953
376,432,City Slickers II: The Legend of Curly's Gold (1994),55,2.6454546
377,433,Clean Slate (1994),8,2.75
378,434,Cliffhanger (1993),101,3.0346534
379,435,Coneheads (1993),63,2.420635
380,436,Color of Night (1994),7,2.5714285
381,437,Cops and Robbersons (1994),9,2.1666667
382,438,"Cowboy Way, The (1994)",7,2.7142856
383,440,Dave (1993),76,3.5460527
384,441,Dazed and Confused (1993),42,3.9285715
385,442,Demolition Man (1993),81,3.0925925
386,444,Even Cowgirls Get the Blues (1993),6,2.3333333
387,445,Fatal Instinct (1993),12,3.0
388,446,Farewell My Concubine (Ba wang bie ji) (1993),9,3.8333333
389,448,Fearless (1993),8,3.625
390,449,Fear of a Black Hat (1994),1,1.0
391,450,With Honors (1994),7,3.0
392,451,Flesh and Bone (1993),1,4.0
393,452,Widows' Peak (1994),3,3.0
394,453,For Love or Money (1993),5,2.8
395,454,"Firm, The (1993)",101,3.5346534
396,455,Free Willy (1993),37,2.391892
397,456,Fresh (1994),4,3.75
398,457,"Fugitive, The (1993)",190,3.9921052
399,458,Geronimo: An American Legend (1993),5,2.8
400,459,"Getaway, The (1994)",6,2.25
401,460,Getting Even with Dad (1994),3,2.6666667
402,461,Go Fish (1994),4,2.75
403,464,Hard Target (1993),10,2.9
404,466,Hot Shots! Part Deux (1993),60,2.8666666
405,467,Live Nude Girls (1995),1,5.0
406,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",22,3.2045455
407,469,"House of the Spirits, The (1993)",5,3.4
408,470,House Party 3 (1994),1,1.0
409,471,"Hudsucker Proxy, The (1994)",40,3.55
410,472,I'll Do Anything (1994),6,2.5833333
411,473,In the Army Now (1994),7,1.8571428
412,474,In the Line of Fire (1993),70,3.692857
413,475,In the Name of the Father (1993),25,4.3
414,476,"Inkwell, The (1994)",1,1.0
415,477,What's Love Got to Do with It? (1993),17,3.3823528
416,478,Jimmy Hollywood (1994),1,2.5
417,479,Judgment Night (1993),4,2.25
418,480,Jurassic Park (1993),238,3.75
419,481,Kalifornia (1993),19,3.1578948
420,482,Killing Zoe (1994),8,3.625
421,484,Lassie (1994),2,3.0
422,485,Last Action Hero (1993),53,2.9339623
423,486,Life with Mikey (1993),3,3.0
424,487,Lightning Jack (1994),4,2.5
425,488,M. Butterfly (1993),1,3.0
426,489,Made in America (1993),11,2.8636363
427,490,Malice (1993),12,3.0
428,491,"Man Without a Face, The (1993)",17,3.2941177
429,492,Manhattan Murder Mystery (1993),14,3.75
430,493,Menace II Society (1993),12,3.6666667
431,494,Executive Decision (1996),41,3.378049
432,495,In the Realm of the Senses (Ai no corrida) (1976),1,5.0
433,496,What Happened Was... (1994),1,5.0
434,497,Much Ado About Nothing (1993),43,3.8139534
435,499,Mr. Wonderful (1993),2,2.5
436,500,Mrs. Doubtfire (1993),144,3.3888888
437,501,Naked (1993),6,3.6666667
438,502,"Next Karate Kid, The (1994)",15,2.3666666
439,504,No Escape (1994),2,3.0
440,505,North (1994),7,2.2142856
441,506,Orlando (1992),2,4.5
442,507,"Perfect World, A (1993)",13,3.3846154
443,508,Philadelphia (1993),66,3.6136363
444,509,"Piano, The (1993)",61,3.5409837
445,510,Poetic Justice (1993),1,3.0
446,511,"Program, The (1993)",2,3.0
447,512,"Puppet Masters, The (1994)",4,3.0
448,513,Radioland Murders (1994),4,3.375
449,514,"Ref, The (1994)",18,3.4166667
450,515,"Remains of the Day, The (1993)",24,3.6041667
451,516,Renaissance Man (1994),18,3.0555556
452,517,Rising Sun (1993),9,3.2777777
453,518,"Road to Wellville, The (1994)",4,2.375
454,519,RoboCop 3 (1993),21,2.4047618
455,520,Robin Hood: Men in Tights (1993),69,3.1304348
456,521,Romeo Is Bleeding (1993),3,3.1666667
457,522,Romper Stomper (1992),7,3.2857144
458,523,Ruby in Paradise (1993),4,3.5
459,524,Rudy (1993),34,3.485294
460,526,"Savage Nights (Nuits fauves, Les) (1992)",1,4.0
461,527,Schindler's List (1993),220,4.225
462,528,"Scout, The (1994)",3,2.3333333
463,529,Searching for Bobby Fischer (1993),40,3.875
464,531,"Secret Garden, The (1993)",24,3.25
465,532,Serial Mom (1994),16,3.0
466,533,"Shadow, The (1994)",18,2.8888888
467,534,Shadowlands (1993),14,3.607143
468,535,Short Cuts (1993),15,3.2666667
469,536,"Simple Twist of Fate, A (1994)",3,3.3333333
470,537,Sirens (1994),12,3.1666667
471,538,Six Degrees of Separation (1993),12,3.5833333
472,539,Sleepless in Seattle (1993),106,3.471698
473,540,Sliver (1993),18,2.6666667
474,541,Blade Runner (1982),124,4.100806
475,542,Son in Law (1993),14,2.7857144
476,543,So I Married an Axe Murderer (1993),41,3.317073
477,544,Striking Distance (1993),8,2.4375
478,546,Super Mario Bros. (1993),21,2.0
479,547,Surviving the Game (1994),2,3.25
480,548,Terminal Velocity (1994),6,2.75
481,549,Thirty-Two Short Films About Glenn Gould (1993),2,4.5
482,550,Threesome (1994),5,3.4
483,551,"Nightmare Before Christmas, The (1993)",93,3.5537634
484,552,"Three Musketeers, The (1993)",61,3.262295
485,553,Tombstone (1993),65,3.8153846
486,555,True Romance (1993),65,3.8
487,556,"War Room, The (1993)",6,3.3333333
488,558,"Pagemaster, The (1994)",8,2.9375
489,562,Welcome to the Dollhouse (1995),23,3.5434783
490,563,Germinal (1993),1,4.0
491,564,Chasers (1994),2,1.5
492,567,Kika (1993),3,2.0
493,568,Bhaji on the Beach (1993),2,3.5
494,569,Little Big League (1994),6,2.6666667
495,573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",1,3.5
496,574,Spanking the Monkey (1994),4,3.25
497,575,"Little Rascals, The (1994)",16,2.65625
498,577,Andre (1994),4,2.125
499,579,"Escort, The (Scorta, La) (1993)",1,3.0
500,580,Princess Caraboo (1994),5,2.8
501,581,"Celluloid Closet, The (1995)",4,4.0
502,583,Dear Diary (Caro Diario) (1994),1,4.0
503,585,"Brady Bunch Movie, The (1995)",36,2.7361112
504,586,Home Alone (1990),116,2.9956896
505,587,Ghost (1990),115,3.4347825
506,588,Aladdin (1992),183,3.7923498
507,589,Terminator 2: Judgment Day (1991),224,3.970982
508,590,Dances with Wolves (1990),164,3.8353658
509,592,Batman (1989),189,3.4285715
510,593,"Silence of the Lambs, The (1991)",279,4.16129
511,594,Snow White and the Seven Dwarfs (1937),77,3.616883
512,595,Beauty and the Beast (1991),146,3.7705479
513,596,Pinocchio (1940),60,3.45
514,597,Pretty Woman (1990),135,3.4851851
515,599,"Wild Bunch, The (1969)",11,3.8181818
516,600,Love and a .45 (1994),1,4.0
517,602,"Great Day in Harlem, A (1994)",1,4.0
518,605,One Fine Day (1996),10,3.0
519,606,Candyman: Farewell to the Flesh (1995),4,3.0
520,608,Fargo (1996),181,4.116022
521,609,Homeward Bound II: Lost in San Francisco (1996),14,3.5714285
522,610,Heavy Metal (1981),33,3.5454545
523,611,Hellraiser: Bloodline (1996),6,2.4166667
524,612,"Pallbearer, The (1996)",6,2.5
525,613,Jane Eyre (1996),8,3.1875
526,615,Bread and Chocolate (Pane e cioccolata) (1973),1,3.0
527,616,"Aristocats, The (1970)",45,3.411111
528,617,"Flower of My Secret, The (La flor de mi secreto) (1995)",3,2.8333333
529,618,Two Much (1995),1,3.0
530,619,Ed (1996),5,2.6
531,626,"Thin Line Between Love and Hate, A (1996)",1,5.0
532,627,"Last Supper, The (1995)",6,3.3333333
533,628,Primal Fear (1996),35,3.642857
534,631,All Dogs Go to Heaven 2 (1996),11,3.1818182
535,632,Land and Freedom (Tierra y libertad) (1995),1,4.0
536,633,Denise Calls Up (1995),1,5.0
537,634,Theodore Rex (1995),4,2.25
538,635,"Family Thing, A (1996)",2,3.0
539,636,Frisk (1995),1,3.0
540,637,Sgt. Bilko (1996),33,3.0454545
541,638,Jack and Sarah (1995),1,3.0
542,639,Girl 6 (1996),4,3.0
543,640,Diabolique (1996),11,2.6818182
544,645,Nelly & Monsieur Arnaud (1995),2,3.5
545,647,Courage Under Fire (1996),29,3.3275862
546,648,Mission: Impossible (1996),162,3.5370371
547,649,Cold Fever (Á köldum klaka) (1995),1,3.0
548,650,Moll Flanders (1996),4,3.0
549,653,Dragonheart (1996),65,3.0923078
550,656,Eddie (1996),5,3.0
551,661,James and the Giant Peach (1996),49,3.4489796
552,662,Fear (1996),7,3.2857144
553,663,Kids in the Hall: Brain Candy (1996),12,3.2916667
554,665,Underground (1995),3,4.3333335
555,667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),8,2.8125
556,668,Song of the Little Road (Pather Panchali) (1955),2,4.25
557,670,"World of Apu, The (Apur Sansar) (1959)",2,4.75
558,671,Mystery Science Theater 3000: The Movie (1996),36,3.4861112
559,673,Space Jam (1996),53,2.7075472
560,674,Barbarella (1968),9,3.1666667
561,678,Some Folks Call It a Sling Blade (1993),9,3.8333333
562,679,"Run of the Country, The (1995)",1,4.0
563,680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",4,4.125
564,685,It's My Party (1996),2,4.0
565,688,Operation Dumbo Drop (1995),9,2.3333333
566,691,Mrs. Winterbourne (1996),3,3.3333333
567,692,Solo (1996),4,2.0
568,694,"Substitute, The (1996)",11,2.9545455
569,695,True Crime (1996),2,4.0
570,697,Feeling Minnesota (1996),5,2.7
571,698,Delta of Venus (1995),1,1.0
572,700,Angus (1995),7,3.2142856
573,703,Boys (1996),2,2.0
574,704,"Quest, The (1996)",7,2.5714285
575,706,Sunset Park (1996),1,3.0
576,707,Mulholland Falls (1996),21,2.8809524
577,708,"Truth About Cats & Dogs, The (1996)",58,3.387931
578,709,Oliver & Company (1988),11,3.090909
579,710,Celtic Pride (1996),8,2.5625
